"","Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
"673",509,-0.404840789478089,1.00537176681107,1.37275624912858,0.00599427935789069,-0.118848739330074,-0.788473319367568,0.566918133849263,0.114720595725603,-0.521987079512563,-0.318949024792769,1.50146625247246,0.151464413088133,-0.986278269449792,-0.0242081692945038,0.286697120442724,0.56686453336794,-0.112456890792099,0.41295944993004,0.127054848773683,0.0652403301647764,-0.207334253296129,-0.619986971059285,0.0208476297820254,0.456775450510474,-0.249289191691285,0.0449368143501402,0.234036149970133,0.0883555740849623,8.28,0
"774",582,-0.185773992034697,0.0684934833400868,0.985169028466344,-1.60889094001108,-0.182242080404157,-1.22006910806993,0.616142160142493,-0.357734743215719,-0.73803841148279,0.453282670315116,-0.874330093669388,-1.35496965398576,-1.16223492620744,-0.35949405166598,-0.853049053866628,0.642377949815409,0.265605173297798,-1.46674875464169,0.172791588588779,0.159475854365151,0.199537460432319,0.800293922280278,-0.149952711181356,0.385025177171703,-0.293320415273648,-0.35596260173614,0.220665583060094,0.010169095760917,18,0
"896",674,-1.15709772412703,0.580680323978565,1.60915228242296,-2.52057974086466,-0.750507031831322,-0.0837991339613925,-0.24476479312599,0.782296416156124,0.695479153529065,-1.64329077222038,1.08871393825323,0.738910431501596,-0.609025489813199,0.538484627779782,1.34556310197425,0.0429294164139508,-0.280092244668743,0.607961866196629,0.459492865143634,0.0133041842719428,0.130641331448583,0.344185466213735,-0.212396146600395,-0.287214292347872,0.279330326591389,-0.0273297391559967,0.1822101118205,0.0553538544453948,24.9,0
"1069",813,-4.06695183753138,-4.01666908711738,3.02887712499551,1.3116336165849,3.96697182816565,-2.34445705501413,-2.98798317993502,0.838260627057759,0.262656403150562,-0.442489364752171,1.08453744116892,1.42648652910637,0.0712294353188959,-0.101677589325435,-0.679649009135117,-0.0706735436810634,-0.262114522241062,0.129644706296666,-0.747846423887003,1.05446090209607,0.454786838947407,0.0815086200378518,0.606857009745064,0.198753773292171,0.492213132830533,-0.482152173576611,-0.0584257224006062,0.15898093727444,9.99,0
"1090",839,0.486337541461418,-1.06365012242428,1.95000186457828,3.29985708119575,-1.61743316500407,1.0931294284401,-0.811581745562596,0.340450322678111,1.0225004888224,0.0851063659998735,-1.53982009306889,0.853765783635982,0.617512435336324,-1.35249348252623,-1.9421540088249,0.117773904600598,0.0562863498159666,-0.10810001750159,-0.642675915670839,0.453406969387913,0.245702657850222,0.566512301021773,-0.377002254240658,0.487004421693653,0.387864638859375,0.216909600653755,0.0438901784990729,0.0916528483546807,293.34,0
"1148",894,-1.49631028466093,0.0334849012851365,0.417449983423925,-0.833102991235434,1.18561283247019,-0.12695426307577,-0.231442041814123,0.70454256722534,-0.219157128974765,-0.670502721474947,-0.764233876759471,0.342172062155364,-0.0481404610221367,0.403143053575051,-0.843319329675284,0.826391729973716,-0.969180453298156,0.567175070934492,0.702342739047715,0.233100632931235,-0.130689533690441,-0.703806436202061,-0.268196310048297,-1.36611909152697,-0.012137417713721,0.375531782422064,0.185834140568925,-0.0570461719358032,1,0
"1305",1022,-0.415496389840615,0.895927840880268,1.10884393994879,-0.161764886292398,0.278246688581871,-0.0272109963841275,0.442325114282338,0.318453991352137,-0.406495332881065,-0.346968042184575,1.15353060588937,-0.230277805927602,-1.46044589450389,0.0815341990781094,0.637842533567671,0.455390915575136,0.00384049457964111,0.205365915293287,-0.0274425346409016,0.0192612488884675,-0.219953628856106,-0.6487106061009,-0.00520929222689495,-0.402199459962504,-0.269010168928089,0.109413734059926,0.245681894081983,0.0785363535937315,9.51,0
"1356",1054,1.16421612040664,0.256008275051794,1.08575468542493,2.31242110768075,-0.0751680117575658,1.16349362681274,-0.60667337948355,0.32080849672577,-0.239962751205829,0.630736004708809,-0.106858502334872,1.07077834276849,1.28688176545748,-0.51212396514452,-1.0427145427603,1.10424359600255,-1.15418135330972,0.536700042761621,-0.120898495438852,-0.0411909003193873,-0.0979337483773614,-0.103846662031049,-0.125748330704186,-0.818072688387645,0.460945519292979,0.00804133445394856,0.0448743038089262,0.0161928612836683,1,0
"1372",1065,-2.31090399619465,-0.782595097232852,1.21385711267409,-0.936380858972167,-2.03078048851553,1.15114542104357,2.36337953309133,-0.592590411512867,0.827774549863118,-0.319467021344144,0.836631222472105,0.739579611912364,0.501313094464371,-1.06718773204671,-0.885654550697269,0.869747997482438,-1.07843113123831,0.137966971478838,0.0983068035401283,-1.17266606095258,-0.524001658656324,0.331994564271722,0.527965049992175,0.136041845404821,-0.12638259126128,0.81630281646296,0.343786443864821,-0.371840873282575,500,0
"1393",1079,1.3174703157943,-0.0407126802335953,0.0320142265017546,-0.374984857663211,-0.181072278259537,-0.370094008102938,-0.158119293587061,-0.0254679189715202,0.0807088658379447,-0.0132076053952301,0.705436831318405,0.514784909353804,-0.0494644995335595,0.424568232634796,0.518323102201978,0.702653691006274,-0.842502283792737,0.291956170767629,0.673933520595133,-0.0491336134297206,-0.116096175690308,-0.354174690098655,-0.0649658305275509,-0.442757442090263,0.314107948060199,0.995445808169148,-0.089683801263451,-0.0157526413456712,0.77,0
