"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","Class"
"206",-0.568284747585613,1.1950945447569,0.69474149656075,-0.626095126347654,1.17108401930435,0.373751078952388,1.01309484421646,-0.272388391902167,0.0558697391702687,0.682043641285574,0.267372062772765,0.178172797544101,0.854316439297874,-1.00920539655489,0.353392252309136,0.854815188775112,-1.13054902389858,0.763852749156702,0.796372845597807,0.599425704179543,-0.489934828858084,-0.83852008374647,-0.286195775608183,-1.44120886363977,0.115045241477743,0.113461635905243,0.13709554389268,-0.249693919517002,-0.268444055035722,0
"1204",-0.462484992118701,1.12525616488882,2.14630160864305,1.76550104652218,0.122789763597803,-0.00257752447233224,0.423988130197122,0.22527801899509,-1.36366200854023,0.39348010942539,0.94578349019991,0.054883644259136,-0.580447296692199,0.372504892090948,-0.168525363886608,1.03127503414535,-0.916409192076795,0.403256555399916,-0.542413331054836,-0.0988185060640147,-0.0830446600086012,-0.427153604205175,-0.0105261575649742,0.251530161856987,-0.334975378029343,-0.315224736925479,0.050245147341048,0.0633596233425634,-0.310118221176448,0
"1644",-1.78884758418647,0.599271178906513,-0.12770279967175,-2.04694311462919,0.128182674820991,-1.1291494951685,-0.963341822321808,-2.31216768400041,0.282816897473779,-2.00979568840774,-0.332314175077079,0.811101875066222,-0.394347008125283,1.15963190244797,1.20552686703886,-0.723126011511639,0.436787728044813,-0.55344780557364,0.0931888868424401,0.494501807603546,-1.16430722820067,0.743105546688296,-0.151201348778233,0.124476455986931,-0.262806598935319,-0.120990680982595,0.349574305392907,-0.025949313617703,-0.314634107780434,0
"2060",-4.28537601357866,-2.89081313740846,0.435886926173313,0.281825836036816,5.1889608284114,2.30728028712107,-4.43156306666482,-2.54805231224199,-0.618166257659188,1.92827974590256,-0.235875820324776,-0.13860170083515,0.532842744760774,-0.118672864901811,2.05230259547794,-1.01715610854966,-0.340197474332279,1.95695126228794,0.456882589925639,-3.17991635270604,1.95123935174573,-1.56468936549833,-1.91074432690464,1.19102098095866,0.17236646845144,0.00110572778522319,1.48533170874014,-0.649897807986083,-0.0763944207984701,0
"3068",0.983559976280137,-0.135449638235251,0.494679267992451,0.672682765104759,-0.382023726920279,-0.216187254504406,0.00480321050436157,0.0476635729433557,0.0528141152220039,-0.185602945480096,0.477305596139488,0.485201630530382,-0.0885328194407402,0.399676561804813,1.56015440786173,-0.357670866445217,0.280509925739528,-1.49885071454384,-0.992389093371714,-0.0136926071313753,-0.131336937053841,-0.523707006910624,0.165661239345204,0.0857601196518998,-0.0164294167683319,0.125392864911417,-0.0137624145036722,0.0298363603913178,-0.0064159575177977,0
"3150",-1.22202579304543,0.142359680535774,2.83421339531963,0.0988612310997226,0.40652057553249,0.0711611148859252,0.132806003110618,-0.0733224645928712,0.558069868071889,0.071806671985278,0.376697534163626,-0.516977771621557,-1.88546315015913,-0.366111921916608,-0.372209592636487,0.625803903998085,-1.12494316224567,1.03088887393376,-0.513996662920047,-0.196165334382818,0.0825345750659849,0.507854631561723,-0.576997371455051,-0.0140505312449446,0.385398427905857,-0.39698908656207,-0.497638475803064,-0.341967444220323,-0.314634107780434,0
"4127",-0.240961863902283,1.35709095603333,1.05858459658302,0.842441273274809,0.667279412627817,-0.25204387134114,0.756240135087315,-0.204225921596981,0.662201124846213,-0.415855224435525,-0.15537071580554,-2.40794433104604,2.73516153594758,1.50935768862329,0.238901225876932,-0.164135362376947,0.185037350228276,0.532960732600581,0.505869678124221,0.171127976620675,-0.0875650739624424,0.226981283426727,-0.272676604609275,-0.489005132543941,-0.0757796553139154,-0.306462755434497,0.39692368069913,0.212368242823529,-0.3039666591096,0
"4467",1.31833904971233,-0.505506094078772,0.551920782469252,-0.626875589874507,-0.870369796808307,-0.471637062434982,-0.708820460162264,-0.109281220093151,0.287164229317783,0.395314940671143,2.14684275829876,-2.5346031585893,1.67643704587938,1.49146610669293,-0.579812995557169,1.51159531991952,0.58610003762423,-0.679464262748519,0.809550925858674,0.11482706366246,-0.195055025519853,-0.562244673355157,0.0623677044366717,-0.0788160295531635,0.203351922203444,-0.520532688818618,-0.0287363730554538,0.00899565346102114,-0.15426679609556,0
"4875",1.18000224582371,0.0282719901726448,1.14668935432657,0.782648352659138,-0.898673096258648,-0.613766513060129,-0.525854569951386,-0.119490527015518,1.77022949279351,-0.482348246616684,0.608222028780946,-2.3163682130498,1.82092492462448,1.42653864456279,0.659218903217657,0.624102428636499,0.165380603211639,0.263609899015163,-0.571351625323109,-0.0750066876062393,-0.151892254804545,-0.228229028144632,0.0576908374863055,0.354675733154635,0.118051733737597,0.34131575529434,-0.0389519487814991,0.0239371393824714,-0.213293345407509,0
"5248",-0.603834853925785,0.877076926350057,2.27156398542711,1.79544751133881,-0.511211249594511,0.292643837948124,0.0352682949468526,0.103261670135442,1.69957679079149,-0.550213688093114,0.322891631085608,-2.54626850633517,0.380331087324181,1.17421271585496,-1.0652761692775,-1.47019409442022,1.76782803945302,-0.384278758986724,0.472374128901528,-0.18694359606134,-0.0623357018528576,0.325322499412347,-0.0606843061723235,0.562486702960702,-0.401300320348945,-0.289499328262125,-0.0765950398248752,0.158151289409988,-0.264852680649874,0
